diff_id,primary_votes,plurality_primary,primary_entropy_bits,primary_entropy_norm,primary_disagreement_fraction,multilabel_jaccard_distance
00165e7ab7f91e299d05923872e6d1e9e09cbb52:AGENTS.md,Conf.&Env.|Conf.&Env.|Conf.&Env.,Conf.&Env.,0.0,0.0,0.0,0.0
00c02138a4d3272f3b2f3e6a0f32e31ff8045d13:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.5555555555555556
0127b2193c416419f1a7173065bd275f84c1e10f:CLAUDE.md,Development Process|Build and Run|Build and Run,Build and Run,0.9182958340544896,0.579380164285695,0.33333333333333337,0.8333333333333334
012b4bb7881eec98d7698226881b0c83f4a05cf3:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.22222222222222232
01950fd4adab6e9b1609667ee7147615ec2bfd6d:CLAUDE.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.44444444444444453
024fab423dbe6b8acd803194f4bcd32e5e26cd16:AGENTS.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.0
02ca586c44c79e5a9f75ddcefc408268e9c713b9:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.0
02ce7d1fe1d55a8ce638745ad1461b30d49bb9a5:CLAUDE.md,UI/UX|UI/UX|UI/UX,UI/UX,0.0,0.0,0.0,0.0
0346d35dab2f1ce93cdf18af952ad414692cd5f4:CLAUDE.md,System Overview|Project Management|Architecture,Architecture,1.584962500721156,1.0,0.6666666666666667,0.36111111111111116
03912a6a1ff82ee95d122fbe96c2e70189181173:CLAUDE.md,Impl. Details|Impl. Details|Impl. Details,Impl. Details,0.0,0.0,0.0,0.6111111111111112
039c5be43143556fde06f9bbb0fa0570acca0259:CLAUDE.md,Architecture|Architecture|Architecture,Architecture,0.0,0.0,0.0,0.33333333333333337
03f068df2cbce69890a18de9c0862d9175573df5:AGENTS.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.1333333333333333
040e1654a71baa3139eb9711b1b9910a8d31c41a:CLAUDE.md,Build and Run|Impl. Details|Impl. Details,Impl. Details,0.9182958340544896,0.579380164285695,0.33333333333333337,0.6666666666666667
046c927d9be3fc23f3ab6307dda68caca718f6a6:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.5555555555555556
047523df4c70bb7b547f9bee428ca93d9b46b30f:CLAUDE.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.4722222222222222
0488e3d853c542e5032639f717d58f5f7601797c:CLAUDE.md,UI/UX|UI/UX|System Overview,UI/UX,0.9182958340544896,0.579380164285695,0.33333333333333337,0.33333333333333337
04e34a704235d8012fcfeacb031a24c16baee18f:AGENTS.md,Conf.&Env.|Documentation|Documentation,Documentation,0.9182958340544896,0.579380164285695,0.33333333333333337,0.33333333333333337
051387b160324da3f97f7dbc655812b004afddb4:CLAUDE.md,Development Process|Development Process|System Overview,Development Process,0.9182958340544896,0.579380164285695,0.33333333333333337,0.8333333333333334
051b8ec13193dd190259c6f76474929238fa0812:CLAUDE.md,DevOps|DevOps|DevOps,DevOps,0.0,0.0,0.0,0.5833333333333333
0527fc6e37fa0f0f984c673062c2051464e02e0b:CLAUDE.md,Impl. Details|Impl. Details|Impl. Details,Impl. Details,0.0,0.0,0.0,0.33333333333333337
0545baa5a2f11af37948fbe5ae9924afd3f169a9:CLAUDE.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.0
057ab9622f90fa6519c87e7e9e2d7f95761be208:AGENTS.md,Conf.&Env.|Conf.&Env.|Conf.&Env.,Conf.&Env.,0.0,0.0,0.0,0.0
057cbd3a562383ba40f1f8df6639a4299852fc24:CLAUDE.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.5
05a45c4cfdaf9211389b3df81ffc87944207ea37:CLAUDE.md,Documentation|Documentation|Documentation,Documentation,0.0,0.0,0.0,0.6388888888888888
0606524128270bd9f644cecf7c24a43534eff1ab:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.44444444444444453
063c3faae4e039cc6c057dabf68f7d56583fa27e:AGENTS.md,Architecture|Build and Run|Build and Run,Build and Run,0.9182958340544896,0.579380164285695,0.33333333333333337,0.16666666666666663
066c95870369267614eabf7a9565487d0ec86e33:AGENTS.md,AI Integration|Impl. Details|Impl. Details,Impl. Details,0.9182958340544896,0.579380164285695,0.33333333333333337,0.33333333333333337
06b65e0f8a2e63cac8cdaf6202f90db0fd64abd9:AGENTS.md,Security|Security|Security,Security,0.0,0.0,0.0,0.33333333333333337
06edb6e00aca8ac5cc95c878a6fc11d69459ae6c:CLAUDE.md,Documentation|Documentation|Documentation,Documentation,0.0,0.0,0.0,0.5333333333333334
0723a1306f94691fe9973f39af447aaa20990090:CLAUDE.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.33333333333333337
083acb9ba33160be8dce2af656b0d4ac69e782b8:CLAUDE.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.33333333333333337
0886d8c88ea11b4d8ac81d74ca924398ac58d50b:CLAUDE.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.0
089081e9655095c77b63c7d1c096e6324119b976:CLAUDE.md,System Overview|Testing|System Overview,System Overview,0.9182958340544896,0.579380164285695,0.33333333333333337,0.33333333333333337
091f094c844337af0db3235385741de865e0ddc6:CLAUDE.md,AI Integration|Development Process|Development Process,Development Process,0.9182958340544896,0.579380164285695,0.33333333333333337,0.6833333333333333
0925d7eab78537af18712d5171ff18aa7afd95ce:CLAUDE.md,Development Process|Development Process|AI Integration,Development Process,0.9182958340544896,0.579380164285695,0.33333333333333337,0.37896825396825395
0940d584f6e55d433c95c3a76991bcf61023e88e:CLAUDE.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.22222222222222232
09c387f4aa98679f5526870ca93ddbe6e145cd5a:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.33333333333333337
0a0c6e0a0a9862ad6510999efc3d4d7a18e31da1:CLAUDE.md,Development Process|Build and Run|Build and Run,Build and Run,0.9182958340544896,0.579380164285695,0.33333333333333337,0.0
0a2d29377629e96c655dceed16ff5127d5db1ad3:AGENTS.md,Documentation|Documentation|Documentation,Documentation,0.0,0.0,0.0,0.0
0acbea94337ecd39548aaee41030b60fd9d19b03:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.0
0b242f7222cad85d9b13531fcfb1119d26168b22:AGENTS.md,Conf.&Env.|Build and Run|Build and Run,Build and Run,0.9182958340544896,0.579380164285695,0.33333333333333337,0.33333333333333337
0b3e3162613a2bd3d0f78b529cf5f6f7bbb61e7d:AGENTS.md,Architecture|Impl. Details|Impl. Details,Impl. Details,0.9182958340544896,0.579380164285695,0.33333333333333337,0.1527777777777778
0b5bf4da742c91d087658ce62cf873cb26df69f4:CLAUDE.md,Development Process|Development Process|Development Process,Development Process,0.0,0.0,0.0,0.0
0b6e07b4339deaa6c11941ce877676c82cd56649:AGENTS.md,Conf.&Env.|Testing|Conf.&Env.,Conf.&Env.,0.9182958340544896,0.579380164285695,0.33333333333333337,0.7222222222222223
0b8290553cca0b02942145ea1f0b77894808ef7d:CLAUDE.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.36111111111111116
0b920402b22f6112dc59fe704f2ae4ea075e5e33:AGENTS.md,Conf.&Env.|Conf.&Env.|Conf.&Env.,Conf.&Env.,0.0,0.0,0.0,0.0
0ba038aeb7fec2e07ffe7c0fb63668cb63352945:CLAUDE.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.0
0bb196b8ca68b0cbc429eee70cfb4f27c5cf23ef:AGENTS.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.0
0bf005d7a6689d8f6d6b82f5ebc524f7bea30844:CLAUDE.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.0
0c4af3c5be747de83651c841d7a50c640885f4d4:CLAUDE.md,Architecture|Development Process|Architecture,Architecture,0.9182958340544896,0.579380164285695,0.33333333333333337,0.5833333333333333
0d1e5feea316da9f325e05b8507704ad8d660088:CLAUDE.md,Architecture|Architecture|Architecture,Architecture,0.0,0.0,0.0,0.0
0d94280eadc13be3113d76f0c5003991527782e3:CLAUDE.md,Build and Run|Build and Run|Build and Run,Build and Run,0.0,0.0,0.0,0.0
0d9f4baf8e706daa208795dffe9be1305718d7bb:AGENTS.md,Development Process|Development Process|Development Process,Development Process,0.0,0.0,0.0,0.33333333333333337
0dbdaf972f49f0bb03e2690d04eb01ad5a7a0fd4:CLAUDE.md,Impl. Details|Architecture|Architecture,Architecture,0.9182958340544896,0.579380164285695,0.33333333333333337,0.0
0de2f9e2e3d6756b3a824b60127d3fed972cc9ab:CLAUDE.md,Testing|Testing|Testing,Testing,0.0,0.0,0.0,0.0
0e22cd84417d1ba0a4693f382fd0a6e2d1ab4b25:AGENTS.md,AI Integration|AI Integration|AI Integration,AI Integration,0.0,0.0,0.0,0.38888888888888895
